Net,Temprature
,1.3
,0.8
,0.6
,0.8
,0.9
,0.7
,0.3
,0.0
,0.0
,-0.1
,-0.4
,-0.5
,-0.4
,-0.3
,-0.3
,-0.1
,0.2
,0.5
,0.9
,1.3
,1.8
,1.9
,2.0
,2.0
,2.0
,2.1
,2.1
,2.1
,1.8
,1.4
,1.3
,1.5
,1.6
,1.7
,1.8
,1.8
,1.6
,1.4
,1.7
,2.0
,2.5
,2.8
,3.3
,3.3
,2.7
,2.7
,2.5
,2.2
,2.1
,2.2
,2.2
,2.3
,2.4
,2.4
,2.4
,2.5
,2.5
,2.5
,2.5
,2.4
,2.6
,2.6
,2.9
,3.4
,4.4
,7.0
,10.2
,12.5
,13.4
,14.8
,15.6
,13.8
,11.8
,11.2
,10.0
,9.9
,9.2
,9.3
,8.5
,7.6
,7.1
,5.6
,4.5
,3.7
,3.0
,2.6
,3.3
,5.0
,5.2
,5.7
,5.8
,6.6
,7.0
,6.8
,5.9
,4.4
,2.3
,1.3
,0.8
,-0.3
,-1.0
,-1.1
,-1.4
,-2.1
,-2.3
,-2.5
,-2.8
,-3.1
,-3.3
,-3.5
,-2.2
,-0.2
,1.5
,3.7
,6.2
,7.9
,9.6
,10.5
,9.7
,8.0
,5.9
,5.1
,4.7
,4.5
,4.2
,4.5
,4.2
,3.5
,3.2
,4.5
,5.1
,5.4
,6.0
,5.1
,5.7
,9.6
,12.1
,14.5
,15.9
,17.8
,19.0
,19.7
,19.4
,17.3
,14.3
,12.7
,12.3
,12.5
,11.5
,10.9
,9.8
,8.9
,7.1
,6.5
,5.7
,4.9
,4.2
,3.7
,5.0
,5.9
,6.8
,6.6
,6.9
,7.5
,7.5
,6.6
,5.0
,3.2
,1.8
,0.7
,-0.3
,-1.2
,-2.1
,-3.0
,-3.7
,-4.4
,-5.1
,-5.8
,-6.6
,-7.2
,-7.6
,-7.7
,-6.5
,-5.2
,-4.3
,-3.6
,-3.4
,-3.0
,-1.7
,-0.8
,-0.3
,-0.1
,-0.9
,-0.9
,-0.3
,0.0
,0.1
,0.4
,0.5
,0.8
,1.2
,1.7
,1.6
,1.4
,1.2
,1.1
,1.4
,1.1
,1.1
,1.1
,0.6
,0.5
,0.8
,1.0
,0.9
,0.4
,0.1
,0.1
,0.1
,0.2
,0.3
,0.4
,0.5
,0.5
,0.1
,0.0
,-0.1
,-0.8
,-1.3
,-2.0
,-1.9
,-1.7
,-1.6
,-1.4
,-1.2
,-0.8
,-0.6
,-0.2
,0.0
,-0.2
,-0.4
,-0.4
,-0.3
,-0.2
,-0.1
,0.0
,0.0
,0.1
,0.2
,0.3
,0.4
,0.6
,0.7
,0.8
,1.3
,2.2
,3.4
,4.7
,5.7
,7.1
,8.0
,9.4
,10.7
,8.7
,6.6
,6.5
,6.8
,6.9
,6.9
,6.7
,6.4
,6.1
,5.8
,5.5
,5.0
,4.4
,3.6
,4.2
,5.5
,5.5
,5.3
,4.9
,4.5
,4.4
,3.9
,3.4
,3.4
,3.3
,3.4
,3.6
,3.8
,3.5
,2.2
,1.6
,1.1
,0.6
,0.3
