Net,Temprature
,5.8
,5.7
,5.8
,5.7
,5.4
,5.2
,5.0
,4.7
,4.6
,4.7
,4.6
,4.5
,4.5
,4.6
,4.7
,5.0
,5.4
,5.5
,5.6
,5.8
,5.9
,6.2
,6.3
,6.2
,6.2
,6.2
,6.2
,6.1
,6.2
,6.3
,6.3
,6.3
,6.3
,6.3
,6.4
,6.3
,6.3
,6.3
,6.7
,7.1
,7.4
,7.7
,7.8
,8.0
,8.3
,8.5
,8.6
,8.6
,8.7
,8.8
,8.9
,8.9
,8.6
,8.5
,8.3
,8.0
,7.9
,8.1
,8.0
,8.0
,8.1
,8.2
,8.6
,9.2
,9.6
,9.7
,10.1
,10.4
,11.4
,12.4
,12.9
,12.3
,10.6
,9.6
,9.1
,8.3
,7.7
,7.2
,6.9
,6.4
,6.3
,6.1
,7.1
,7.2
,5.9
,5.5
,7.5
,11.0
,12.2
,13.6
,14.2
,14.7
,15.4
,15.2
,14.3
,13.1
,11.4
,9.9
,8.7
,8.1
,8.6
,8.4
,7.6
,6.9
,6.4
,5.8
,5.3
,4.9
,4.5
,4.1
,4.1
,4.8
,6.3
,7.4
,9.0
,10.4
,10.9
,11.4
,11.0
,10.4
,9.6
,8.7
,7.5
,6.9
,6.2
,5.9
,6.0
,6.1
,5.9
,5.6
,5.0
,5.1
,5.3
,5.5
,7.0
,9.3
,12.4
,15.2
,16.6
,16.8
,16.9
,17.2
,17.7
,16.5
,15.3
,14.3
,14.0
,13.2
,12.8
,12.1
,11.5
,11.3
,11.5
,12.0
,12.1
,12.3
,12.4
,12.5
,12.9
,14.3
,15.9
,15.9
,16.5
,17.0
,17.2
,17.0
,16.5
,15.9
,14.8
,12.5
,10.9
,10.4
,10.1
,8.9
,7.8
,7.0
,6.6
,5.8
,5.0
,4.5
,3.9
,3.4
,3.2
,3.3
,3.9
,3.9
,4.4
,5.1
,5.5
,5.9
,6.1
,6.0
,6.0
,6.0
,5.7
,5.7
,5.8
,5.9
,6.0
,6.1
,6.2
,6.0
,5.9
,5.9
,5.8
,5.6
,5.5
,5.7
,6.1
,6.4
,6.7
,6.9
,6.9
,6.7
,6.4
,5.8
,5.2
,5.0
,4.7
,4.3
,3.9
,3.6
,3.5
,3.2
,2.8
,2.4
,2.0
,1.9
,1.9
,1.9
,2.0
,2.2
,2.4
,2.8
,3.3
,3.6
,3.6
,3.6
,3.7
,3.7
,3.7
,3.7
,3.6
,3.5
,3.5
,3.5
,3.5
,3.5
,3.5
,3.5
,3.5
,3.5
,3.5
,3.5
,3.5
,3.5
,8.4
,9.8
,10.8
,12.2
,13.5
,14.1
,13.9
,13.0
,11.4
,10.2
,9.3
,8.2
,7.2
,6.4
,5.9
,5.2
,5.1
,4.4
,4.2
,3.8
,3.5
,3.9
,4.3
,5.7
,8.4
,13.5
,16.2
,17.7
,18.7
,18.4
,16.8
,13.2
,11.9
,10.8
,10.0
,10.0
,9.8
,9.2
,8.3
,7.6
,7.1
,6.7
,6.3
,6.3
,6.4
,6.6
,6.8
,7.3
,7.7
,7.5
,7.7
,8.4
,8.4
,8.3
,8.4
,8.2
,7.9
,7.8
,7.6
,7.5
,7.4
,7.3
,7.2
,7.2
,7.1
,6.9
,6.8
,6.6
,6.4
,6.4
,6.3
,5.9
,6.2
,6.5
,6.7
,7.0
,7.1
,7.2
,7.2
,7.0
,6.9
,6.7
,6.7
,6.6
,6.6
,6.4
,6.2
,6.0
,5.9
,5.9
,5.8
,5.8
,5.8
,5.9
,6.3
,6.8
,7.7
,8.8
,10.5
,11.4
,12.4
,12.8
,12.4
,11.5
,10.3
,9.7
,8.7
,8.2
,7.3
,6.6
,6.1
,5.6
,5.5
,5.1
,5.1
,4.9
,4.6
,5.5
,6.7
,8.5
,10.4
,13.0
,15.5
,17.0
,17.4
,17.7
,17.4
,15.8
,13.4
,11.6
,10.6
,9.6
,9.4
,9.3
,8.5
,7.9
,7.5
,7.2
,6.6
,6.6
,5.5
,5.5
,7.8
,12.2
,15.9
,18.4
,19.9
,20.1
,19.8
,20.2
,20.1
,18.8
,17.4
,16.2
,15.5
,14.9
,13.7
,13.4
,13.1
,12.2
,11.6
,11.9
,12.1
,12.7
,13.4
,13.0
,13.6
,15.8
,16.8
,18.4
,19.6
,20.9
,21.6
,21.1
,20.8
,19.2
,16.5
,15.0
,13.8
,13.1
,12.6
,12.1
,10.9
,10.6
,10.3
,8.4
,8.1
,8.3
,8.0
,8.8
,10.1
,11.0
,12.2
,13.0
,14.1
,15.8
,17.1
,18.8
,19.8
,18.4
,15.7
,14.4
,13.6
,13.0
,11.9
,11.0
,10.2
,9.8
,9.0
,8.4
,7.2
,6.4
,6.2
,6.8
,10.2
,14.2
,19.0
,22.7
,24.9
,26.7
,27.7
,27.6
,27.1
,25.0
,21.7
,19.1
,17.7
,16.4
,15.6
,16.2
,16.9
,17.3
,17.5
,17.7
,17.9
,17.7
,17.3
,17.6
,18.4
,19.2
,20.4
,22.1
,22.7
,23.8
,24.1
,23.8
,22.9
,21.8
,21.1
,20.6
,20.4
,20.2
,20.0
,19.8
,19.9
,19.9
,19.9
,19.6
,19.5
,19.4
,19.3
,19.2
,19.7
,20.3
,20.3
,18.2
,18.1
,18.3
,16.3
,14.2
,13.2
,12.6
,11.9
,11.1
,10.8
,10.5
,10.3
,10.0
,9.6
,8.9
,8.6
,8.4
,8.3
,8.2
,8.2
,8.3
,9.0
,9.5
,11.3
,11.6
,12.8
,14.2
,14.2
,14.1
,12.7
,11.6
,10.3
,9.0
,7.8
,6.7
,6.4
,6.3
,6.2
,4.6
,2.8
,2.6
,2.3
,2.0
,1.9
,1.9
,4.9
,9.5
,13.0
,15.5
,17.4
,18.4
,18.5
,18.1
,17.9
,16.4
,13.9
,12.0
,10.6
,10.4
,9.4
,9.1
,8.3
,8.1
,7.3
,7.3
,6.8
,6.7
,6.7
,7.0
,8.6
,13.3
,16.6
,19.9
,19.9
,20.3
,21.2
,21.5
,22.1
,20.9
,18.0
,16.2
,15.4
,13.7
,13.1
,12.3
,11.4
,10.8
,10.3
,9.6
,8.8
,8.7
,8.6
,7.7
,11.4
,16.5
,20.5
,22.3
,22.7
,23.8
,24.1
,23.5
,23.5
,22.0
,19.6
,17.7
,16.6
,15.8
,14.5
,13.2
,12.2
,11.4
,11.1
,10.2
,10.2
,9.2
,8.5
,8.9
,11.3
,17.8
,22.2
,24.8
,26.2
,26.8
,27.1
,27.1
,26.5
,25.0
,22.4
,20.0
,17.6
,15.9
,14.3
,13.6
,13.0
,13.1
,12.8
,12.6
,12.0
,11.2
,10.5
,10.9
,13.4
,17.7
,21.6
,23.9
,25.4
,26.6
,26.7
,26.2
,24.6
,23.1
,20.9
,19.5
,18.3
,17.2
,16.4
,16.2
,15.9
,15.2
,15.8
,16.0
,16.0
,15.7
,15.3
,15.1
,15.6
,16.6
,16.6
,22.8
,24.4
,25.3
,26.0
,26.1
,25.6
,24.1
,21.5
,19.8
,18.7
,17.6
,16.6
,15.8
,15.2
,14.9
,15.1
,14.8
,15.4
,15.5
,15.7
,15.2
,15.1
,15.4
,18.2
,20.3
,21.6
,21.9
,22.0
,21.6
,20.4
,19.2
,18.1
,17.3
,17.5
,17.3
,16.9
,16.8
,16.6
,16.6
,16.5
,16.1
,15.8
,16.5
,16.8
,17.2
,19.1
,19.9
,21.4
,22.9
,23.8
,24.2
,24.8
,24.5
,23.6
,22.2
,21.1
,20.5
,19.7
,19.5
,19.1
,18.8
,18.4
,18.2
,17.9
,17.5
,17.9
,18.2
,17.7
,17.4
,18.9
,20.7
,22.2
,23.3
,25.0
,26.0
,26.2
,25.1
,24.9
,24.2
,22.8
,21.8
,21.2
,21.5
,21.3
,20.7
,19.1
,17.0
,15.6
,14.6
,13.4
,11.9
,10.4
,9.7
,9.5
,9.7
,10.9
,12.5
,13.1
,13.3
,13.2
,12.5
,11.1
,9.4
,8.1
,7.4
,7.0
,6.7
,6.8
,7.1
,7.3
,7.5
,7.6
,7.1
,7.0
,6.9
,7.0
,7.2
,7.6
,7.7
,8.0
,8.1
,8.2
,8.4
,8.1
,8.2
,8.1
,8.0
,7.9
,7.8
,7.9
,8.1
,8.3
,8.6
,8.7
,8.6
,8.1
,8.1
,8.2
,8.4
,8.6
,8.8
,9.0
,9.6
,10.6
,12.0
,14.1
,15.7
,16.9
,16.9
,17.1
,16.8
,15.2
,13.8
,13.0
,12.1
,11.2
,10.2
,10.5
,11.1
,11.0
,10.6
,11.0
,11.7
,12.0
,12.2
,12.4
,12.8
,13.3
,14.5
,15.7
,15.2
,15.1
,15.2
,15.0
,14.7
,14.2
,13.8
,13.2
,12.8
,12.0
,11.5
,11.1
,10.7
,10.5
,10.3
,10.1
,10.0
,9.8
,9.6
,9.6
,10.1
,10.8
,11.8
,12.8
,13.9
,14.8
,15.5
,15.8
,15.3
,14.5
,13.4
,12.7
,12.6
,12.4
,12.2
,12.2
,12.2
,11.6
,12.0
,11.9
,11.7
,11.7
,11.7
,13.2
,16.2
,19.2
,20.5
,21.5
,22.6
,23.6
,24.1
,23.9
,22.6
,19.8
,18.4
,17.2
,15.8
,14.8
,14.2
,14.0
,14.0
,14.1
,14.8
,16.2
,15.7
,15.5
,16.1
,17.1
,19.1
,21.7
,24.1
,25.7
,27.2
,28.0
,28.7
,28.6
,27.4
,23.7
,21.0
,19.0
,17.6
,16.9
,15.9
,14.7
,14.2
,13.2
,11.2
,10.8
,13.1
,14.2
,14.1
,14.5
,16.5
,20.5
,22.7
,24.7
,25.8
,26.9
,27.8
,27.6
,26.2
,23.2
,20.6
,17.9
