Net,Temperature
25462.305,4.3
24346.259,4.3
23413.986,4.4
22790.649,4.9
22588.849,5.8
22869.26,6.8
23400.071,7.6
23673.797,9.1
24077.120000000003,10.6
24912.061,11.7
25613.347,12.1
25986.823,12.3
25424.529,12.3
25004.56,12.9
25806.627000000004,13.7
26715.564,14.4
28634.817000000003,13.9
31086.773,13.7
31219.239,12.1
30964.052000000003,10.5
30347.210000000003,8.1
29230.906,6.3
27558.132,5.1
25964.853,4.4
24891.869,3.8
24348.965,2.8
24210.127,1.8
24535.316000000003,0.7
25460.514,-1.0
27748.445,-1.8
31075.37,-2.3
33008.427,-2.7
32847.397000000004,-2.2
32339.392000000003,-2.1
31949.699,-3.3
31558.193,-3.0
31337.52,-2.5
31887.832,-1.8
32191.806,-0.7
32793.915,0.2
34445.501,0.9
36267.469000000005,1.1
36119.945,1.4
35501.429000000004,1.4
34585.985,1.1
32914.64,0.2
30525.086,-1.0
28345.427000000003,-1.6
26818.254,-1.9
25898.845,-2.4
25475.035,-2.8
25422.209,-2.4
26088.001,-2.1
27944.548,-1.4
31134.981,-0.3
32893.668,2.1
32800.072,3.5
32328.403,3.9
32073.447,4.3
31708.04,4.6
31274.212,5.0
31404.52,4.7
31400.066,4.5
31841.132000000005,5.3
33656.297999999995,6.0
36079.631,6.5
36345.386000000006,7.1
36087.764,6.9
35411.447,5.9
34076.789000000004,4.6
32049.101,3.0
30245.151,1.2
28953.825,-0.6
28293.357,-1.5
28112.312,-1.9
28279.777,-1.9
29159.877000000004,-1.4
31290.149,-0.8
34457.581000000006,-0.5
36039.114,-0.4
35373.959,-0.3
34150.378,-0.7
33051.384999999995,-2.1
31992.433,-2.8
31650.593,-2.9
31959.925000000003,-0.4
32180.529,3.0
32598.58,4.5
33842.83,5.3
35318.064,5.4
34898.892,5.4
34053.426,5.5
33035.036,5.1
31775.602000000003,4.6
29975.841000000004,4.6
28178.232,5.1
26536.971,5.2
25568.787,5.1
24960.304,5.2
24664.225,5.0
24769.804,5.0
25398.243,4.6
26476.377,3.6
27705.719,3.2
28817.692,3.7
29808.428,4.2
30384.906000000003,4.8
30414.698,5.2
30258.453,5.8
29845.732000000004,5.7
29616.783,6.1
29611.317,6.4
30334.929,6.3
32192.734,6.3
32316.407,6.3
31859.792,6.1
31293.719,5.2
30375.546,4.8
29121.547999999995,4.2
27678.729,3.9
26320.993,3.8
25403.267,3.9
24950.855,3.5
24795.996,2.7
24921.197,1.3
25468.176,0.6
26317.535,0.0
27252.362,-0.8
27666.312,-1.1
27802.03,-1.2
27448.708,-1.3
26261.92,-1.7
25570.806,-1.8
25317.188,-0.5
25871.74,1.8
27286.993,4.6
29538.526,6.3
32353.087000000003,6.8
33053.838,7.1
32802.969,7.0
32630.172999999995,5.6
31626.732000000004,4.6
30048.706,3.4
28595.339,2.3
27549.956,1.5
27116.045,-0.3
27174.023,-1.0
27595.136,-2.1
28708.042,-2.9
31119.634,-3.5
34672.955,-3.9
36397.405,-4.3
35775.278,-4.9
34515.75399999999,-5.7
33844.132999999994,-6.3
33032.312999999995,-6.6
33212.737,-7.0
33980.896,-6.2
34882.017,-5.0
35670.509,-3.8
37053.457,-2.8
38799.702000000005,-2.1
38715.783,-1.7
38052.015,-1.3
37047.615,-1.7
35244.194,-2.1
32967.524999999994,-3.3
30763.343,-4.4
29079.776,-4.8
28279.838,-4.7
27880.412,-3.7
27744.372000000003,-3.0
28352.559,-2.9
30271.078,-2.7
33356.122,-2.1
35083.033,-1.6
34789.903,-0.5
34291.886999999995,1.6
33863.379,2.3
33271.420000000006,2.6
32531.739,3.4
32151.586,3.9
31804.758,4.4
32042.333,5.0
33283.338,5.7
35318.128000000004,6.2
35376.456,6.7
34870.545000000006,6.9
33999.012,7.0
32353.712000000003,6.4
30163.439,5.3
28005.755,5.1
26623.338,6.9
25903.795,7.1
25642.497000000003,6.9
25843.942000000003,6.4
26701.45,6.5
28910.543,6.6
32407.09,6.3
34002.124,6.3
33050.554000000004,6.1
31609.92,5.7
30689.872,5.7
30433.083,5.3
30812.83,4.7
31696.829,5.2
32462.304,6.5
33581.005000000005,7.3
35222.14,7.7
37372.90899999999,6.9
37697.242,6.1
37314.345,6.1
36776.146,5.6
35461.418,4.5
33332.943,3.9
31518.378,3.3
30427.884,2.7
29815.657000000003,2.0
29736.236,1.5
29896.584,1.0
30791.611,0.7
32909.698000000004,0.5
36382.211,0.8
38021.504,0.3
37106.153,0.4
35422.043999999994,0.4
34796.345,0.4
34340.976,0.3
34065.383,0.3
33659.111000000004,0.5
33414.946,1.0
34336.975999999995,1.6
36728.626,1.0
39443.185,0.7
39848.174,0.3
39513.307,0.5
38845.305,0.4
37545.266,-0.8
35249.61,-1.7
33330.435000000005,-2.2
31954.101,-2.6
31325.924,-3.1
31161.03,-3.6
31292.555,-3.8
32217.108,-3.8
34459.126000000004,-3.3
37784.785,-3.0
39445.684,-3.1
38055.808,-3.4
35619.81,-4.0
34035.219,-4.8
32959.740000000005,-5.7
32240.210000000003,-6.3
31972.755000000005,-5.8
32212.975,-4.8
33667.137,-3.4
36036.261,-2.4
38597.014,-1.6
38790.46,-1.7
38337.595,-2.0
37756.46,-2.2
36645.429,-3.2
35141.436,-4.6
33439.084,-5.7
32204.625,-6.8
31562.288,-7.6
31237.912,-8.1
31191.217,-8.6
31531.58,-8.8
32419.546,-9.1
33740.104,-9.5
34859.384,-9.9
35180.248,-10.3
34377.662000000004,-10.1
33411.448,-9.3
32624.397,-8.8
32088.937,-8.5
31854.911000000004,-7.7
32203.624,-6.3
33005.185,-5.1
34634.520000000004,-4.1
36654.969,-3.0
36770.377,-2.0
36317.093,-1.7
35762.485,-2.0
34758.208,-2.6
33399.566000000006,-3.2
31937.702,-4.2
30651.186,-4.9
29812.091,-4.8
29455.945,-5.3
29385.721,-5.8
29652.341000000004,-6.0
30331.883,-6.3
31324.16,-6.3
32338.522,-6.6
33459.053,-7.0
34319.187,-7.0
34468.60799999999,-7.1
34330.582,-7.1
34255.13,-7.4
34121.509,-7.3
34293.228,-6.7
34784.420000000006,-5.9
35974.577,-5.1
37786.063,-4.4
37983.858,-3.7
37308.539,-3.5
36865.969,-3.2
35432.668,-3.4
33546.605,-4.1
31886.960000000003,-4.4
30858.927000000003,-3.8
30347.253,-3.8
30319.465,-3.6
30639.76,-3.3
31632.165,-3.0
33923.956,-3.0
37140.737,-2.8
39084.653,-2.8
38984.172000000006,-3.0
37901.979,-3.1
36528.136000000006,-3.1
35048.157,-3.2
33735.533,-3.3
32948.999,-2.8
32811.105,-2.2
33809.130000000005,-1.6
35928.351,-1.3
39030.887,-0.8
39806.822,-0.9
39586.858,-1.2
38979.298,-1.2
37543.482,-2.2
35523.897999999994,-4.1
33723.596000000005,-6.0
32485.038,-6.6
32118.793,-7.4
31981.334,-8.0
32303.856000000003,-8.6
33273.842000000004,-9.2
35519.686,-9.4
38810.48100000001,-9.6
40447.477,-9.8
38937.166000000005,-9.9
36194.5,-9.9
34399.305,-10.1
33154.388,-10.1
32393.018,-9.8
32181.866,-6.2
32789.171,-3.0
33733.767,0.4
35577.715000000004,1.8
38478.846000000005,2.3
39262.976,2.5
39106.283,2.3
38471.687,1.7
37063.998,0.6
34948.831,-0.8
33130.666,-2.7
31968.666,-3.7
31506.783,-4.7
31283.882,-5.6
31559.732,-6.3
32492.924,-7.0
34607.321,-7.5
37903.452000000005,-7.9
39476.786,-8.4
38546.204,-8.7
37254.419,-9.0
36542.506,-9.1
35746.284,-9.1
35078.429000000004,-8.8
34821.903999999995,-5.0
34613.33,-0.2
35055.874,0.9
36525.899,1.2
38487.706000000006,1.5
38523.544,2.3
37973.21,2.3
37053.119,2.1
35405.204,1.6
33201.405,-0.2
31275.378,-2.0
29927.248,-2.8
29359.286,-2.1
29234.777,-1.7
29453.296,-0.7
30486.444,-1.3
32790.763,-1.8
36253.05,-2.8
37957.014,-3.5
37115.118,-4.1
35549.688,-4.9
34310.1,-4.8
34227.861,-5.3
34430.176,-6.0
34551.676,-5.6
34929.529,-4.8
35560.507000000005,-3.8
36924.026,-2.6
38990.787,-1.8
39206.764,-1.0
38793.622,-1.3
37967.55100000001,-2.1
36302.894,-2.9
34054.282,-3.4
32137.236,-3.6
30872.58,-3.9
30124.727000000003,-3.7
29911.595,-4.2
30021.212000000003,-4.7
30693.468,-4.2
32574.139,-3.1
35305.62100000001,-2.5
