Net,Temperature
9092.054,7.2
8688.329,8.0
8327.54,9.9
8168.988000000001,10.4
8130.987,12.0
8277.908000000001,12.5
8472.871000000001,12.9
8588.52,14.3
8480.783,14.8
8506.605,15.6
8441.113000000001,16.2
8216.657,15.7
8362.021999999999,15.2
8745.196,14.9
9005.805999999999,14.8
9345.739,14.9
9925.513,14.3
10915.51,14.4
11004.88,14.7
10895.24,14.8
10723.263,14.1
10354.699,12.9
9857.205,12.1
9371.09,11.2
9084.256,10.4
8923.896,9.1
9000.851999999999,8.1
9190.631,7.1
9570.363,6.3
10421.073,5.9
11467.331,5.4
12001.44,5.3
11844.055,5.5
11664.192,5.4
11309.965,5.2
10889.801,5.0
10895.383999999998,4.8
10824.212,5.1
10962.698,5.2
11313.334,5.4
12071.479,5.6
12843.827,5.7
12827.685,5.9
12657.274,5.8
12342.867,5.5
11729.498999999998,5.3
11026.863,5.0
10381.891,4.9
9904.066,4.5
9681.896,4.5
9574.756999999998,4.9
9585.145,4.7
9901.485,4.6
10579.855,4.5
11513.229,4.4
11972.336,4.5
11781.392,5.0
11614.64,6.1
11371.799,9.0
11076.009,9.4
10835.69,8.8
10821.803999999998,8.9
10853.575,9.4
11066.873,10.0
11562.535,9.7
12540.98,9.9
12681.194,9.3
12641.57,9.2
12492.13,8.5
12128.99,7.6
11534.59,6.9
11003.024,6.6
10606.407,6.7
10441.205,6.6
10393.946999999998,6.6
10442.402,6.2
10874.949,5.7
11642.084,5.4
12699.727,5.1
13160.018999999998,4.6
12925.811000000002,4.1
12592.555,4.1
12110.585,4.4
11833.711,4.0
11723.868,3.7
11695.921,4.1
11590.897,3.8
11667.413,4.3
12014.28,4.6
12574.893,4.8
12442.728,5.0
12128.643,5.1
11778.23,5.2
11317.004,5.0
10779.966,5.1
10157.358,5.0
9674.094,4.8
9335.308,4.6
9130.237,4.6
9078.556,4.6
9141.123,4.7
9374.783,5.1
9781.78,5.1
10187.059,5.2
9781.005,5.3
9209.258999999998,5.3
9037.187,5.5
9055.415,6.1
8916.691,6.7
8472.921999999999,7.4
7954.746999999999,8.3
8305.578000000001,8.5
9885.134,8.4
11080.797,9.2
11323.948,11.6
11354.753,12.6
11229.246,12.9
11028.862,11.9
10657.155,10.0
10314.134,9.6
9978.957,9.1
9837.534,9.1
9800.319,9.2
9820.81,9.0
9977.865,8.8
10293.636,9.1
10676.447,9.7
10950.825,9.4
9982.258,9.5
8510.261,9.3
8031.802,9.9
7878.876999999999,9.3
7903.184000000001,9.0
8164.401999999998,9.0
8248.676000000001,10.0
8508.589,11.5
9675.087,12.7
11172.35,12.8
11687.917,12.8
11672.908999999998,13.6
11636.305,14.6
11364.707,13.1
10847.188,10.9
10381.152,10.8
10166.442,10.0
10106.672,8.9
10163.562,7.4
10410.94,5.8
10940.015,6.1
11877.872,5.1
13128.163,3.7
13588.104,2.9
12678.712,2.0
11856.973,1.1
11379.219,0.8
11178.667,0.5
11031.295,0.4
10912.917,0.5
10605.499,1.6
11273.174,2.4
12586.293,2.6
13642.887,3.2
13926.719,3.0
13658.321000000002,3.0
13340.968,3.1
12710.271,2.8
12019.365,2.2
11179.77,1.9
10748.316,1.9
10510.771,2.2
10358.385,2.3
10343.499,2.0
10658.093,1.8
11357.79,3.2
12464.371,2.9
12930.614,3.7
12418.993,4.3
11690.297,4.1
10760.526000000002,4.2
9489.296000000002,3.6
8836.347,3.9
8647.928,4.5
8566.327000000001,5.5
8920.748,7.0
10269.687,8.7
11533.364,10.1
11794.514,13.1
11679.537,15.0
11385.685,15.0
10877.816,14.7
10145.583,14.3
9482.153,13.6
9089.018,12.9
8968.819000000001,12.4
9026.123,12.5
9170.57,11.5
9657.699,10.9
10591.292,9.2
11851.675,7.4
12376.498,5.9
11053.023,5.8
9398.587,4.8
8997.213,3.7
9129.659,3.8
9208.316,3.7
9229.43,4.6
9533.789,5.7
10283.031,5.8
11981.051,6.8
13451.441,6.1
13778.333,5.7
13813.463999999998,4.1
13724.266,2.7
13376.149,1.5
12834.434,0.2
12247.253,-0.3
11959.61,-0.3
11963.663,-0.9
12150.498999999998,-1.4
12461.056000000002,-1.8
12994.469,-2.3
14047.306,-2.7
15370.539,-3.3
15875.705,-3.8
14094.283,-4.4
12120.061,-4.7
11599.446999999998,-4.8
11292.731000000002,-4.9
10935.555,-4.8
10593.14,-3.8
10431.38,-2.6
11046.354,-1.4
13152.925,-0.6
15010.718,-0.4
15488.766,0.2
15503.733,0.3
15464.492,-0.1
15019.675,-1.4
14295.774,-2.8
13692.052,-3.6
13424.061999999998,-4.2
13334.416,-4.7
13431.713999999998,-4.8
13711.235,-4.8
14196.987,-5.0
15100.945,-5.3
16292.778000000002,-5.3
16740.331,-5.3
14847.821000000002,-5.3
12739.18,-5.4
11946.589,-5.7
11426.074,-5.8
10864.06,-5.7
10437.372,-4.8
10093.466,-3.0
10529.941000000004,-1.2
12556.813999999998,-0.1
14316.123,1.3
14719.703,1.9
14726.57,2.3
14509.357,2.5
14323.699,2.2
13911.093,1.6
13506.29,0.8
13144.887,-0.1
12970.864,-1.3
12852.17,-1.9
12850.683999999996,-2.1
12975.415,-2.3
13172.627,-2.4
13539.215,-2.4
13900.188,-2.6
14106.893000000002,-2.7
13995.835,-2.7
13690.683,-2.7
13189.254,-2.7
12672.953,-2.7
12751.196000000002,-2.3
13035.219,-1.9
13393.235,-1.5
13940.255,-1.3
14659.743,-1.1
14808.575,-1.1
14695.315,-1.2
14446.954,-1.2
14126.62,-3.0
13637.684,-3.3
13155.604,-3.3
12801.675,-3.2
12583.975,-3.3
12479.794,-3.3
12384.22,-3.3
12479.399,-3.3
12670.966,-3.1
12995.277,-3.1
13464.571999999998,-3.1
13855.789,-3.2
14098.436,-3.2
14135.375,-3.3
13891.485,-3.3
13885.662,-3.5
13874.398,-3.5
13918.9,-3.4
14031.598,-3.3
14436.577,-3.2
15167.901000000002,-2.9
15267.828,-2.8
15074.534,-2.8
14848.588999999998,-3.1
14415.835,-3.2
13932.623,-3.2
13424.96,-3.1
