Net,Temperature
37595.594,12.9
36246.802,12.8
35430.087,12.6
35011.771,12.0
35129.013,13.2
35794.763,12.6
36643.269,11.7
37902.875,11.1
38647.159,10.4
39767.839,9.8
41086.316,9.4
42174.082,8.4
42779.015,7.6
42855.754,6.6
43109.211,5.2
43401.373,4.6
44266.121,4.1
46270.433,3.2
46891.243,2.7
46571.62,2.0
46004.116,1.6
45068.103,1.4
43484.212,1.1
41529.296,1.1
40295.895,1.0
39585.19,0.9
39220.325,0.8
39242.603,0.7
40122.513,0.7
42198.404,0.7
45634.749,0.7
48793.671,0.5
50167.872,0.3
50674.378,0.2
51338.119000000006,0.0
51576.81599999999,-0.1
51470.405000000006,-0.1
51542.435,0.1
51409.99,0.8
51066.795,2.0
51621.137,3.1
53532.177,3.9
53899.26900000001,4.6
53226.335,4.8
52359.416,5.0
50725.508,4.8
48534.919,4.1
45940.821,3.8
43966.437000000005,3.4
42912.235,3.2
42445.83900000001,3.0
42352.207,2.9
42968.305,3.9
44903.326,4.0
48346.265,3.7
51192.946,3.1
51743.723,2.5
51627.308,1.9
51810.032,1.3
51353.785,0.6
50936.82,0.1
50189.53599999999,0.1
49415.495,0.1
49190.423,-0.2
49592.77599999999,-0.3
52466.969,-0.5
54158.148,-0.1
53985.164,0.4
53463.685,0.2
52164.492000000006,-0.2
49949.95599999999,-0.8
47621.601,-1.2
45793.077,-1.5
44762.139,-1.6
44213.76,-1.7
44131.077000000005,-1.9
44723.892,-1.8
46516.884,-1.8
49944.833,-1.8
52461.708,-1.8
53042.08700000001,-1.3
52711.013,-1.5
52152.376,-1.7
51185.884000000005,-1.5
50327.905,-1.3
49322.818,-0.1
48538.499,0.5
47894.316,1.2
48073.558000000005,2.1
49975.469000000005,3.0
50917.067,3.7
50438.663,4.3
49654.346,5.1
48546.654,5.4
46866.723,8.1
44514.321,9.2
42671.556,9.6
41329.776,9.4
40688.943,9.4
40366.267,9.3
40823.317,8.5
41636.55,6.9
43123.696,6.3
44824.68,5.6
45849.168,5.3
46225.449,5.2
45939.088,4.5
45580.306,3.9
44655.864,2.9
43576.02,1.2
42444.049,0.0
42016.903,-0.3
42460.389,-0.5
44826.232,0.1
46667.707,1.1
46549.745,1.7
46250.164,2.0
45434.93,2.3
43979.299000000006,2.0
42200.179,1.8
40894.752,1.7
39731.795,1.6
39302.571,1.6
39129.477,1.8
39169.344,2.0
39911.562,2.0
41189.546,2.1
42729.266,2.1
43668.322,2.0
43897.424000000006,1.8
43540.976,1.6
42993.689000000006,1.4
42702.48,1.3
42112.348,1.3
41829.995,1.2
41939.371,1.3
43201.4,1.6
46272.595,2.0
48099.67,2.3
48152.944,2.6
47926.713,2.5
46886.202,1.7
45104.305,0.5
43394.376,-0.3
42116.031,-0.9
41509.296,-0.8
41355.389,-1.0
41303.585,-1.5
42155.65099999999,-1.9
44515.389,-2.1
48303.792,-2.7
51288.83299999999,-2.5
52050.59299999999,-1.9
52020.702,-1.5
52080.739,-1.4
51753.912,-0.7
51366.297,0.0
50879.667,0.0
50304.189000000006,0.9
49717.609,2.2
49735.228,2.7
51447.423,3.8
52016.352000000006,4.7
51405.45,4.7
50239.334,4.4
48246.174000000006,3.4
45838.497,3.4
43128.46599999999,3.0
41169.086,2.9
39909.922000000006,2.8
39171.969,2.6
39085.38,2.4
39585.19299999999,2.1
41744.411,2.1
45603.094000000005,2.4
48163.84599999999,2.8
48445.714,3.0
48075.287,3.1
47697.857,4.0
47372.276,4.7
46757.584,5.3
46382.27099999999,6.4
45809.707,7.3
45580.362,8.6
46322.645,9.5
48632.739,9.7
50328.147,7.7
50134.36,9.5
49622.39,8.6
48553.8,8.4
46643.819,8.6
44603.75,8.2
43054.408,6.2
42196.565,4.8
42125.797000000006,3.2
42406.783,2.3
43382.683,1.4
45977.368,0.2
50135.24599999999,-0.7
53480.828,-1.4
54221.172,-1.7
54381.068,-1.8
54719.346,-1.9
54657.436,-2.0
54792.74,-2.2
54981.740000000005,-2.4
54799.889,-3.0
54907.799000000006,-3.6
55699.165,-4.9
57720.924000000006,-6.2
59117.91099999999,-6.9
58751.674000000006,-7.4
58053.044,-7.8
56557.61099999999,-8.3
54214.033,-8.8
51830.199,-9.2
50281.472,-9.6
49445.50400000001,-10.0
49155.642,-10.3
49147.849,-10.4
50114.35,-10.6
52334.364,-11.0
56000.244000000006,-11.3
58982.23299999999,-11.4
59370.84599999999,-11.5
58969.882,-11.6
58655.683,-11.6
58126.044,-11.6
57631.58400000001,-11.8
57253.29,-11.8
56755.565,-12.0
56452.706,-11.9
56850.893,-11.7
58848.888,-11.5
60105.282,-11.1
59527.351,-11.0
58902.252,-10.9
57311.054,-10.9
54902.951,-11.0
52401.615,-11.1
50661.356,-11.2
49796.763,-11.2
49186.97,-11.1
49142.493,-11.1
49870.365,-11.2
51964.783,-11.2
55478.272,-11.2
58437.178,-11.2
58499.307,-11.1
57613.779,-11.1
56787.62,-11.1
55866.061,-11.2
54691.999,-11.1
53598.861,-11.0
52516.292,-10.7
52150.325,-10.3
52753.449,-9.7
54922.48900000001,-8.9
56029.85,-7.9
55443.497,-7.2
54727.876,-6.7
53527.327,-6.8
51504.81599999999,-8.0
49232.937,-9.4
47462.948,-9.2
46306.542,-10.5
45641.323,-9.3
45254.228,-9.1
45600.087,-8.6
46436.113,-7.5
47908.65,-7.1
49809.96,-6.3
51093.43400000001,-5.9
52213.131,-5.3
52737.19,-5.1
52744.00200000001,-4.6
52342.073,-4.5
51936.001,-4.4
51590.337,-4.0
51601.74599999999,-3.6
52022.92599999999,-2.5
53685.287,-2.5
54467.686,-2.6
53670.567,-2.4
52834.837,-3.7
51347.63,-4.1
49713.093,-4.2
47739.603,-4.2
46032.641,-3.8
44837.46799999999,-4.2
44084.394,-4.4
43763.15700000001,-4.5
43858.92599999999,-4.6
44515.534,-4.6
45439.792,-4.4
46726.229,-4.6
47653.32,-4.0
48624.138,-3.7
48994.858,-3.3
49053.997,-3.2
49206.478,-3.5
48825.362,-3.7
48677.951,-3.5
48831.272,-3.3
49640.682,-3.6
51935.57,-3.8
53707.682,-3.6
53243.508,-3.2
52619.567,-3.1
51076.08900000001,-3.5
49504.793,-3.9
47587.939000000006,-5.0
46449.403,-5.3
45889.428,-5.3
45745.21599999999,-5.3
46089.71,-5.4
47094.129,-5.1
49467.17599999999,-5.2
53405.42,-5.5
56443.953,-5.9
57286.736,-5.9
57245.14,-5.7
56718.372,-5.3
55959.1,-4.7
55506.636,-4.7
55088.059,-4.2
54487.841,-4.0
54004.503,-4.1
54620.179,-4.2
56608.267,-4.3
58344.865000000005,-4.4
57982.824,-4.5
57239.929,-4.8
55643.597,-4.9
53241.438,-5.0
50995.925,-5.2
49447.869000000006,-5.2
48629.518,-5.4
48235.047,-5.6
48483.549000000006,-5.6
49360.114,-5.8
51586.96799999999,-5.9
55426.548,-6.0
58079.666,-6.2
58545.26,-6.4
58070.324,-6.5
57594.921,-6.7
56999.16599999999,-6.7
56676.042,-6.9
56315.213,-7.3
55854.562,-7.2
55686.21200000001,-7.3
56334.34599999999,-7.3
58043.37900000001,-7.3
59032.067,-7.1
58708.943,-6.9
57682.05499999999,-6.8
56164.0,-6.7
53669.419,-6.7
51040.399,-6.6
49051.573,-6.6
47996.109,-6.6
47455.869,-6.4
47068.80499999999,-6.2
47759.807,-6.1
49606.844000000005,-5.9
53185.1,-5.7
55844.997,-5.5
56183.526,-5.3
55840.076,-5.2
55689.951,-5.2
55035.738,-5.4
54386.108,-5.4
54091.859,-5.4
53688.55099999999,-5.3
53486.771,-5.1
54016.34299999999,-5.0
55737.411,-4.9
56820.008,-4.7
56242.177,-4.6
55565.722,-4.6
54051.65,-4.6
51442.951,-4.7
49052.30499999999,-4.6
47304.094000000005,-4.6
46254.656,-4.7
45847.668,-5.0
45699.473,-5.3
46625.316,-5.3
48772.767,-5.3
52770.534,-5.4
55595.874,-5.3
55903.624,-5.3
55851.22,-5.3
55673.175,-5.3
55220.295,-5.2
54897.804,-5.3
54573.332,-6.1
54281.508,-5.3
53871.001,-4.1
54241.733,-3.7
55863.277,-3.2
56740.751,-3.0
56149.62099999999,-3.2
55298.234,-3.2
53595.739,-3.3
50892.359,-3.4
48220.592,-3.3
46467.973,-3.3
45304.878,-3.3
44662.215,-3.2
44469.554,-3.2
45215.272,-2.9
47316.958,-2.6
50761.777,-2.5
53632.931,-1.9
54183.346,-0.8
54160.557,-0.5
54083.291,-0.5
53750.064000000006,-0.4
53165.53599999999,-0.4
52887.337,-0.8
52300.676,-9999.0
51728.926,-9999.0
51864.747,-9999.0
53194.823,-9999.0
54121.337,-9999.0
53425.116,-9999.0
52640.061,-9999.0
51338.186,-9999.0
49499.087,-9999.0
47325.274000000005,-9999.0
45591.806,-9999.0
44345.446,-9999.0
43784.473,-9999.0
43439.986,-9999.0
43666.441,-9999.0
44592.352000000006,-9999.0
45974.416,-9999.0
47795.431,-9999.0
49161.085,-9999.0
50408.447,-9999.0
51355.075,-9999.0
51519.194,-9999.0
51478.10599999999,-9999.0
51108.542,-9999.0
50690.19900000001,-9999.0
50580.311,-9999.0
51075.659,-9999.0
52621.583,-9999.0
53437.819,-9999.0
52750.631,-9999.0
51855.882,-9999.0
50665.613,-9999.0
49068.546,-9999.0
47529.196,-9999.0
46422.505,-9999.0
45643.378,-9999.0
45457.347,-9999.0
45683.677,-9999.0
46184.342,-9999.0
47276.835,-9999.0
48464.724,-9999.0
50076.12,-9999.0
51432.237,-9999.0
52671.131,-9999.0
53371.996,-9999.0
53539.636,-9999.0
53401.92799999999,-9999.0
53044.09900000001,-9999.0
52745.513,-9999.0
52960.609,-9999.0
54377.555,-9999.0
57318.305,-9999.0
60164.02,-9999.0
60520.475000000006,-9999.0
60174.60799999999,-9999.0
59457.298,-9999.0
58387.041,-9999.0
57141.865,-9999.0
56283.231,-9999.0
56031.121,-9999.0
56051.561,-9999.0
56407.628,-9999.0
57373.053,-9999.0
59496.432,-9999.0
62297.783,-9999.0
64931.348,-9999.0
65676.86700000001,-9999.0
65332.03,-9999.0
64858.645,-9999.0
63608.109,-9999.0
62456.853,-9999.0
61418.397,-9999.0
60364.418,-9999.0
59678.033,-9999.0
60433.981,-9999.0
63072.096,-9999.0
65474.179,-9999.0
65602.41,-9999.0
65211.812,-9999.0
63827.78799999999,-9999.0
61712.479,-9999.0
59297.15,-9999.0
57981.283,-9999.0
57165.774000000005,-9999.0
